,True_Class,Pred_Class,C2,noise_level,experiment,fd_order,ratio,threshold_approx_uniq,threshold_exact_uniq,threshold_approx_nonuniq,threshold_exact_nonuniq,sv_max,sv_min,C,C1,Correct_Classification
0,non unique,,0.3125401670864087,0.0,linear_nonunique_1,2.0,1.99201786166115e-15,5.235008393451766e-05,0.0,4.294934445818938e-05,0.0008739725717573525,3125.401670864087,6.225855953226864e-12,1562.7008354320435,4688.102506296131,False
1,non unique,non unique,0.3125401670864087,0.0,linear_nonunique_1,4.0,2.982963576385435e-15,6.570580935589568e-05,6.640443601769845e-05,2.8823908511881727e-06,7.866403293408016e-07,2921.4291573046844,8.714516767230269e-12,1562.7008354320435,4688.102506296131,True
2,non unique,non unique,0.3125401670864087,0.0,linear_nonunique_1,6.0,3.6789429530564124e-15,6.660217954102919e-05,6.666641355961453e-05,1.9344853024347471e-07,7.592705391027005e-10,2731.795753721656,1.0050120737343717e-11,1562.7008354320435,4688.102506296131,True
3,non unique,non unique,0.3125401670864087,0.0,linear_nonunique_1,8.0,4.428182760011999e-15,6.666233867139709e-05,6.666666641331765e-05,1.2983120492128425e-08,7.599963350267392e-13,2554.4708111741993,1.1311663606995457e-11,1562.7008354320435,4688.102506296131,True
4,non unique,,0.3125401670864087,0.0,linear_nonunique_1,10.0,5.0682117295454726e-15,6.66663761971843e-05,6.666666666640732e-05,8.713503580456296e-10,7.780119804453577e-16,2388.6562958227832,1.210621585634167e-11,1562.7008354320435,4688.102506296131,False
5,non unique,,0.3125401670864087,0.0,linear_nonunique_1,12.0,5.7750625949906874e-15,6.666664717207052e-05,6.666666666666639e-05,5.847988975418364e-11,8.087078341363972e-19,2233.605047740729,1.2899208963189872e-11,1562.7008354320435,4688.102506296131,False
6,non unique,,0.31254016708622795,1e-10,linear_nonunique_1,2.0,5.653275280061017e-10,5.2349936806429105e-05,0.0,4.29497858635822e-05,0.000873973298617731,3125.4016708622794,1.7668756006147123e-06,1562.7008354311397,4688.102506293419,False
7,non unique,non unique,0.31254016708622795,1e-10,linear_nonunique_1,4.0,8.052206027631404e-10,6.570361957293178e-05,6.640407319334942e-05,2.888959812701281e-06,7.87728732112656e-07,2921.429157308128,2.3523949469774644e-06,1562.7008354311397,4688.102506293419,True
8,non unique,non unique,0.31254016708622795,1e-10,linear_nonunique_1,6.0,9.725119854997286e-10,6.657517058138022e-05,6.666596828834535e-05,2.744700583072158e-07,2.0949953034643065e-09,2731.795753718892,2.656704112428887e-06,1562.7008354311397,4688.102506293419,True
9,non unique,non unique,0.31254016708622795,1e-10,linear_nonunique_1,8.0,1.1128625718163717e-09,6.660161533126173e-05,6.666615997870093e-05,1.951410475884039e-07,1.5199625694781058e-09,2554.470811169693,2.842774956548158e-06,1562.7008354311397,4688.102506293419,True
10,non unique,non unique,0.31254016708622795,1e-10,linear_nonunique_1,10.0,1.242419288237598e-09,6.660175881605594e-05,6.666611207431236e-05,1.9471062167709665e-07,1.6636661555560358e-09,2388.6562958199715,2.967712654896906e-06,1562.7008354311397,4688.102506293419,True
11,non unique,non unique,0.31254016708622795,1e-10,linear_nonunique_1,12.0,1.3689283566912305e-09,6.66017594630723e-05,6.666607191714254e-05,1.9470868075638619e-07,1.7841296346655006e-09,2233.605047735158,3.0576452874933275e-06,1562.7008354311397,4688.102506293419,True
12,non unique,,0.3125401670840152,1e-09,linear_nonunique_1,2.0,5.633105323842311e-09,5.234851739723757e-05,0.0,4.2954044295006054e-05,0.0008739803113446618,3125.4016708401523,1.7605716791155316e-05,1562.7008354200761,4688.102506260228,False
13,non unique,non unique,0.3125401670840152,1e-09,linear_nonunique_1,4.0,8.01901950161411e-09,6.56827429198711e-05,6.640057224700063e-05,2.951586084523586e-06,7.982308932243848e-07,2921.429157292421,2.3426997384912e-05,1562.7008354200761,4688.102506260228,True
14,non unique,non unique,0.3125401670840152,1e-09,linear_nonunique_1,6.0,9.689580223276326e-09,6.644526687692586e-05,6.66616661021451e-05,6.641556803527779e-07,1.5000693818483617e-08,2731.795753693454,2.6469954109018338e-05,1562.7008354200761,4688.102506260228,True
15,non unique,non unique,0.3125401670840152,1e-09,linear_nonunique_1,8.0,1.1102291126649876e-08,6.645482235774678e-05,6.666127693494488e-05,6.354910991870303e-07,1.616811763939118e-08,2554.470811214578,2.8360478620633723e-05,1562.7008354200761,4688.102506260228,True
16,non unique,non unique,0.3125401670840152,1e-09,linear_nonunique_1,10.0,1.2399335472466736e-08,6.64548663737894e-05,6.666076415766897e-05,6.353590596380672e-07,1.7706346987995966e-08,2388.65629590165,2.961775074130433e-05,1562.7008354200761,4688.102506260228,True
17,non unique,non unique,0.3125401670840152,1e-09,linear_nonunique_1,12.0,1.3638960888528351e-08,6.645486657207164e-05,6.666033637594559e-05,6.353584648300364e-07,1.8989606670294646e-08,2233.605047734087,3.046405188646471e-05,1562.7008354200761,4688.102506260228,True
18,non unique,,0.3125401670330306,1e-08,linear_nonunique_1,2.0,5.6507277135670336e-08,5.233499512181967e-05,0.0,4.299461306569393e-05,0.0008740471545019402,3125.401670330306,0.00017660793834564157,1562.700835165153,4688.102505495459,False
19,non unique,non unique,0.3125401670330306,1e-08,linear_nonunique_1,4.0,8.062763217157252e-08,6.55023934866747e-05,6.636716483926048e-05,3.492602965154047e-06,8.984466621200946e-07,2921.429156629351,0.00023554791545601862,1562.700835165153,4688.102505495459,True
20,non unique,non unique,0.3125401670330306,1e-08,linear_nonunique_1,6.0,9.754246831398847e-08,6.6006027081819e-05,6.662063402565004e-05,1.9817918720855317e-06,1.3808874256011134e-07,2731.795752971551,0.0002664661006745158,1562.700835165153,4688.102505495459,True
21,non unique,non unique,0.3125401670330306,1e-08,linear_nonunique_1,8.0,1.1181799543457663e-07,6.600916776105159e-05,6.661471393844777e-05,1.972370412809965e-06,1.558478271884341e-07,2554.4708103787184,0.0002856358054126868,1562.700835165153,4688.102505495459,True
22,non unique,non unique,0.3125401670330306,1e-08,linear_nonunique_1,10.0,1.249014139699217e-07,6.600918194155808e-05,6.660977184039189e-05,1.9723278739026398e-06,1.7067313945673958e-07,2388.656296152351,0.00029834654887758467,1562.700835165153,4688.102505495459,True
23,non unique,non unique,0.3125401670330306,1e-08,linear_nonunique_1,12.0,1.376771444396616e-07,6.600918200543204e-05,6.660565055363867e-05,1.9723276822924953e-06,1.8303618134452757e-07,2233.605048047906,0.00030751636482124887,1562.700835165153,4688.102505495459,True
24,non unique,,0.3125401669095763,1e-07,linear_nonunique_1,2.0,5.628038664352671e-07,5.2185175730355095e-05,0.0,4.3444093077023485e-05,0.0008747919734365487,3125.401669095763,0.0017589881435303328,1562.7008345478814,4688.102503643644,False
25,non unique,non unique,0.3125401669095763,1e-07,linear_nonunique_1,4.0,8.036648124245119e-07,6.428497293160118e-05,6.599354663951264e-05,7.144672959357164e-06,2.019230902807606e-06,2921.4291571424337,0.002347849815586374,1562.7008345478814,4688.102503643644,True
